Duration,x,y,z,x,y,z,w
1568115179.443305000,14.7085,-1.59477,0.892371,-0.00103695,0.00681516,0.736199,0.67673
1568115179.643655000,14.7,-1.60346,0.890856,-0.000570686,0.00580222,0.736718,0.676175
1568115179.844081000,14.6952,-1.60291,0.888555,-0.000990524,0.00600522,0.736684,0.676209
1568115180.044391000,14.6918,-1.60201,0.899622,-0.00087639,0.00554531,0.736433,0.676487
1568115180.244881000,14.691,-1.59613,0.892982,-0.000606562,0.00630416,0.736224,0.676709
1568115180.445323000,14.7023,-1.59564,0.8933,-0.000998881,0.00581676,0.736182,0.676758
1568115180.645708000,14.7025,-1.59416,0.896429,-0.000606135,0.0067705,0.736317,0.676602
1568115180.846080000,14.7004,-1.59321,0.898257,-0.00068481,0.00569472,0.73644,0.676479
1568115181.046443000,14.7016,-1.59392,0.896644,-0.000957556,0.00536742,0.736539,0.676373
1568115181.246795000,14.7037,-1.59951,0.888665,-0.000817583,0.00678926,0.73639,0.676522
1568115181.447259000,14.7068,-1.55439,0.900043,0.00309885,0.0017961,0.736578,0.676343
1568115181.647628000,14.7126,-1.55221,0.899734,0.00310978,0.00177269,0.736635,0.676281
1568115181.848068000,14.709,-1.55337,0.890924,0.00293624,0.0017392,0.736431,0.676504
1568115182.048371000,14.7169,-1.54768,0.900948,0.00338162,0.00138525,0.736134,0.676826
1568115182.249475000,14.7049,-1.55676,0.890983,0.00213099,0.00287098,0.736658,0.676256
1568115182.449218000,14.7152,-1.55168,0.895072,0.00296035,0.00176632,0.736477,0.676453
1568115182.649601000,14.7086,-1.54941,0.897124,0.00352892,0.000797609,0.736575,0.676347
1568115182.850530000,14.7052,-1.55532,0.903685,0.00216973,0.00283862,0.736674,0.676238
1568115183.050397000,14.7035,-1.55549,0.904232,0.00231205,0.00245616,0.73685,0.676047
1568115183.250772000,14.7098,-1.55493,0.897043,0.00224959,0.00228158,0.73673,0.67618
1568115183.451182000,14.7177,-1.55314,0.898076,0.00223197,0.00265439,0.736288,0.67666
1568115183.651558000,14.7194,-1.55294,0.900676,0.00285119,0.00234701,0.736475,0.676455
1568115183.851977000,14.7161,-1.56105,0.897406,0.00289831,0.0024323,0.736748,0.676156
1568115184.052352000,14.7156,-1.55942,0.9056,0.00226264,0.00316637,0.736685,0.676225
1568115184.252748000,14.7171,-1.55298,0.90201,0.00253049,0.00240503,0.736602,0.676318
1568115184.453173000,14.7183,-1.56153,0.897475,0.00194398,0.00298115,0.736549,0.676375
1568115184.653570000,14.7209,-1.55454,0.904901,0.00224529,0.00267642,0.736653,0.676262
1568115184.853984000,14.7236,-1.55238,0.895351,0.00281502,0.00227564,0.736544,0.67638
1568115185.054391000,14.7148,-1.55743,0.899794,0.0027638,0.00225075,0.736693,0.676218
1568115185.254776000,14.7175,-1.55509,0.898229,0.00277856,0.00168039,0.736567,0.676357
1568115185.455238000,14.7178,-1.55471,0.897992,0.00272443,0.00229359,0.736367,0.676573
1568115185.655632000,14.7194,-1.55424,0.90236,0.00262573,0.00191601,0.736577,0.676346
1568115185.855997000,14.7188,-1.5581,0.893495,0.0027643,0.00237728,0.736672,0.67624
1568115186.056605000,14.717,-1.55789,0.904772,0.00206628,0.0029697,0.736532,0.676393
1568115186.256838000,14.7209,-1.55685,0.904403,0.00234213,0.00269779,0.736571,0.67635
1568115186.457236000,14.7215,-1.55712,0.899209,0.00212771,0.00302822,0.736685,0.676226
1568115186.657695000,14.7207,-1.55807,0.900435,0.00292537,0.00193372,0.736554,0.676369
1568115186.857981000,14.7184,-1.55759,0.888507,0.00217246,0.00275117,0.736796,0.676106
1568115187.058372000,14.7187,-1.56136,0.899472,0.00203555,0.00295775,0.736661,0.676252
1568115187.258773000,14.719,-1.54881,0.903037,0.00238071,0.00269711,0.736244,0.676707
1568115187.459300000,14.7175,-1.55123,0.895858,0.00266749,0.00222991,0.736469,0.676462
1568115187.659543000,14.7158,-1.55333,0.901048,0.0026964,0.00207288,0.736403,0.676535
1568115187.859958000,14.7159,-1.55643,0.897368,0.0019682,0.00313186,0.736582,0.676338
1568115188.060619000,14.7169,-1.55663,0.891619,0.00155677,0.00341509,0.736759,0.676145
1568115188.260733000,14.7206,-1.55764,0.899574,0.00247639,0.00250927,0.736563,0.67636
