Duration,x,y,z,x,y,z,w
1568115179.443305000,14.9207,-1.7959,0.497,-0.00103695,0.00681516,0.736199,0.67673
1568115179.643655000,14.9129,-1.80343,0.495202,-0.000570686,0.00580222,0.736718,0.676175
1568115179.844081000,14.9081,-1.80324,0.493148,-0.000990524,0.00600522,0.736684,0.676209
1568115180.044391000,14.9048,-1.80217,0.504146,-0.00087639,0.00554531,0.736433,0.676487
1568115180.244881000,14.9033,-1.79672,0.497355,-0.000606562,0.00630416,0.736224,0.676709
1568115180.445323000,14.915,-1.79618,0.4979,-0.000998881,0.00581676,0.736182,0.676758
1568115180.645708000,14.9146,-1.79497,0.500806,-0.000606135,0.0067705,0.736317,0.676602
1568115180.846080000,14.9132,-1.79335,0.502671,-0.00068481,0.00569472,0.73644,0.676479
1568115181.046443000,14.9148,-1.79396,0.501214,-0.000957556,0.00536742,0.736539,0.676373
1568115181.246795000,14.9159,-1.80039,0.493165,-0.000817583,0.00678926,0.73639,0.676522
1568115181.447259000,14.9195,-1.75015,0.502242,0.00309885,0.0017961,0.736578,0.676343
1568115181.647628000,14.9254,-1.74791,0.501927,0.00310978,0.00177269,0.736635,0.676281
1568115181.848068000,14.9217,-1.74927,0.493218,0.00293624,0.0017392,0.736431,0.676504
1568115182.048371000,14.9294,-1.74333,0.502984,0.00338162,0.00138525,0.736134,0.676826
1568115182.249475000,14.9176,-1.75361,0.493744,0.00213099,0.00287098,0.736658,0.676256
1568115182.449218000,14.928,-1.74756,0.497351,0.00296035,0.00176632,0.736477,0.676453
1568115182.649601000,14.9216,-1.74436,0.499075,0.00352892,0.000797609,0.736575,0.676347
1568115182.850530000,14.918,-1.75212,0.506423,0.00216973,0.00283862,0.736674,0.676238
1568115183.050397000,14.9164,-1.75188,0.506887,0.00231205,0.00245616,0.73685,0.676047
1568115183.250772000,14.9229,-1.75133,0.499734,0.00224959,0.00228158,0.73673,0.67618
1568115183.451182000,14.9303,-1.75005,0.500778,0.00223197,0.00265439,0.736288,0.67666
1568115183.651558000,14.9319,-1.74922,0.503019,0.00285119,0.00234701,0.736475,0.676455
1568115183.851977000,14.9287,-1.75718,0.499722,0.00289831,0.0024323,0.736748,0.676156
1568115184.052352000,14.9281,-1.75636,0.508285,0.00226264,0.00316637,0.736685,0.676225
1568115184.252748000,14.9299,-1.74938,0.504539,0.00253049,0.00240503,0.736602,0.676318
1568115184.453173000,14.931,-1.75862,0.500345,0.00194398,0.00298115,0.736549,0.676375
1568115184.653570000,14.9337,-1.75122,0.507595,0.00224529,0.00267642,0.736653,0.676262
1568115184.853984000,14.9362,-1.74859,0.497715,0.00281502,0.00227564,0.736544,0.67638
1568115185.054391000,14.9276,-1.75356,0.502187,0.0027638,0.00225075,0.736693,0.676218
1568115185.254776000,14.9305,-1.75096,0.500614,0.00277856,0.00168039,0.736567,0.676357
1568115185.455238000,14.9303,-1.7511,0.500409,0.00272443,0.00229359,0.736367,0.676573
1568115185.655632000,14.9323,-1.75033,0.504833,0.00262573,0.00191601,0.736577,0.676346
1568115185.855997000,14.9314,-1.75432,0.495888,0.0027643,0.00237728,0.736672,0.67624
1568115186.056605000,14.9297,-1.75491,0.507571,0.00206628,0.0029697,0.736532,0.676393
1568115186.256838000,14.9336,-1.75354,0.507041,0.00234213,0.00269779,0.736571,0.67635
1568115186.457236000,14.9342,-1.75405,0.501972,0.00212771,0.00302822,0.736685,0.676226
1568115186.657695000,14.9335,-1.75401,0.502735,0.00292537,0.00193372,0.736554,0.676369
1568115186.857981000,14.9312,-1.75427,0.491243,0.00217246,0.00275117,0.736796,0.676106
1568115187.058372000,14.9315,-1.75831,0.502288,0.00203555,0.00295775,0.736661,0.676252
1568115187.258773000,14.9314,-1.74569,0.505654,0.00238071,0.00269711,0.736244,0.676707
1568115187.459300000,14.9301,-1.74754,0.498307,0.00266749,0.00222991,0.736469,0.676462
1568115187.659543000,14.9285,-1.74958,0.50348,0.0026964,0.00207288,0.736403,0.676535
1568115187.859958000,14.9286,-1.75358,0.500224,0.0019682,0.00313186,0.736582,0.676338
1568115188.060619000,14.9298,-1.75405,0.494714,0.00155677,0.00341509,0.736759,0.676145
1568115188.260733000,14.9333,-1.75416,0.502135,0.00247639,0.00250927,0.736563,0.67636
1568115188.461224000,14.9289,-1.7506,0.497731,0.00203992,0.00265862,0.73665,0.676265
1568115188.661593000,14.9297,-1.74909,0.493252,0.00246935,0.00266655,0.736501,0.676427
1568115188.861977000,14.9352,-1.75111,0.500172,0.00221108,0.00293376,0.736495,0.676433
1568115189.062316000,14.9325,-1.75419,0.502674,0.00258464,0.00223745,0.736502,0.676427
1568115189.262836000,14.9308,-1.75409,0.495998,0.00186717,0.00296036,0.736524,0.676403
1568115189.463213000,14.9317,-1.75219,0.49711,0.0026036,0.00235285,0.736533,0.676393
1568115189.663565000,14.9265,-1.75285,0.499148,0.00313444,0.00129312,0.736512,0.676416
1568115189.863988000,14.927,-1.75354,0.499434,0.00227012,0.00268244,0.73655,0.676374
1568115190.064316000,14.9288,-1.74739,0.496405,0.0027083,0.00215201,0.736482,0.676448
1568115190.264762000,14.9309,-1.75576,0.500837,0.0029321,0.00188529,0.736766,0.676139
1568115190.465134000,14.9286,-1.75429,0.502439,0.00265338,0.00227423,0.736575,0.676346
1568115190.665522000,14.9322,-1.74899,0.494618,0.00293312,0.00197999,0.736624,0.676293
1568115190.865960000,14.928,-1.74822,0.501242,0.00335846,0.00147044,0.736433,0.676501
1568115191.066344000,14.934,-1.74987,0.501208,0.00230296,0.00271488,0.7364,0.676537
1568115191.266725000,14.9286,-1.75408,0.49759,0.0024554,0.00221886,0.736469,0.676464
1568115191.467102000,14.9291,-1.75164,0.492999,0.00256337,0.0019492,0.73645,0.676484
1568115191.667521000,14.9329,-1.75561,0.498528,0.00225226,0.00232525,0.736577,0.676346
1568115191.868026000,14.932,-1.75347,0.500778,0.00276615,0.00230133,0.736627,0.676289
1568115192.068258000,14.9319,-1.74777,0.496448,0.00287454,0.00153776,0.736582,0.67634
1568115192.268702000,14.9311,-1.74815,0.493613,0.00244352,0.00261462,0.736495,0.676434
1568115192.469153000,14.9266,-1.74793,0.49922,0.00356105,0.000715357,0.736437,0.676496
1568115192.669557000,14.9263,-1.74956,0.498698,0.00274645,0.0021214,0.736561,0.676363
1568115192.869905000,14.9341,-1.75019,0.505026,0.00292526,0.00192082,0.736273,0.676675
1568115193.070231000,14.9319,-1.7545,0.50217,0.00258153,0.00214066,0.736496,0.676434
1568115193.270699000,14.934,-1.75108,0.499213,0.0031099,0.00170575,0.736579,0.676342
1568115193.471082000,14.9311,-1.75299,0.497814,0.0028964,0.00192512,0.735766,0.677227
1568115193.671486000,14.9316,-1.75248,0.50123,0.0030387,0.00159067,0.736144,0.676817
1568115193.871850000,14.9388,-1.74801,0.497463,0.00337537,0.00171147,0.736584,0.676336
1568115194.072271000,14.938,-1.74998,0.499378,0.00306766,0.00209915,0.736651,0.676263
1568115194.272664000,14.9334,-1.75235,0.501747,0.00276708,0.00184548,0.736485,0.676445
1568115194.473032000,14.9301,-1.74836,0.502436,0.00312,0.00144751,0.736419,0.676517
1568115194.673442000,14.9284,-1.75097,0.502347,0.00287773,0.00197827,0.736538,0.676387
1568115194.873824000,14.9316,-1.75211,0.505202,0.00193402,0.00308568,0.736416,0.676519
1568115195.074178000,14.925,-1.75546,0.500334,0.00241688,0.00260565,0.73631,0.676635
1568115195.274664000,14.9217,-1.75025,0.500404,0.00284701,0.00208466,0.736507,0.676421
1568115195.475029000,14.9313,-1.75032,0.498207,0.00271784,0.00208903,0.736382,0.676557
