Duration,x,y,z,x,y,z,w
1568115178.441299000,-0.875129,-1.45597,0.0271158,-0.000934028,0.000748563,0.196438,0.980516
1568115179.042463000,-0.888396,-1.42081,0.0163581,-0.00181369,0.00147734,0.194672,0.980866
1568115179.443305000,-1.20854,-2.96851,0.0453748,0.00625951,-0.0160825,0.0144605,0.999746
1568115179.844081000,-1.20463,-2.95636,0.0476553,0.0035717,-0.0165125,0.0119506,0.999786
1568115180.244881000,1.79692,-6.55368,0.116544,-0.0104053,0.0307257,-0.0778582,0.996436
1568115181.046443000,-1.01631,-8.55241,-0.105361,-0.0126739,0.0205441,0.0852631,0.996066
1568115181.447259000,1.83332,-6.32382,0.0983902,-0.010022,0.0256607,-0.0844099,0.99605
1568115182.249475000,1.81807,-6.50824,0.117068,-0.0108135,0.0303113,-0.0814422,0.996158
1568115182.649601000,4.46083,-8.4983,-0.111167,6.99067e-05,0.0245968,0.0810558,0.996406
1568115183.050397000,2.74957,-2.7172,0.136605,0.0096976,-0.00747231,-0.0385774,0.999181
1568115183.651558000,4.48848,-8.47827,-0.103712,-0.00366646,0.0264978,0.0830944,0.996183
1568115184.252748000,5.71477,5.34371,-0.0224755,0.0140839,0.0184478,-0.204268,0.97864
1568115184.653570000,10.4709,-8.83991,-0.0157849,-0.0195714,0.00547831,0.322609,0.946314
1568115185.655632000,21.0101,-7.21729,0.00400352,-0.0159406,0.000930129,0.22111,0.975118
1568115186.056605000,26.2305,-2.99732,0.165197,-0.0062027,-0.0278542,0.0121246,0.999519
