Duration,ICPErrorClosestFacetAll,ResidualError,RobustMeanDist,NbPointsRobMeanDist,HaussdorffDist,HaussdorffQuantileDist,ICPErrorClosestFacetRef,selectiveICPOverlap,normalICPOverlap,sizeOfMap
Number of Facets in Model: 182
1568115180.244881000,,,,,,,,,0.798123,
1568115180.445323000,,,,,,,,,0.798112,
1568115180.645708000,,,,,,,,,0.798534,
1568115180.846080000,,,,,,,,,0.798454,
1568115181.046443000,,,,,,,,,0.798869,
1568115181.246795000,,,,,,,,,0.799198,
1568115181.447259000,,,,,,,,,0.798984,
1568115181.647628000,,,,,,,,,0.798306,
1568115181.848068000,,,,,,,,,0.798668,
1568115182.048371000,,,,,,,,,0.798019,
1568115182.249475000,,,,,,,,,0.799514,
1568115182.449218000,,,,,,,,,0.798625,
1568115182.649601000,,,,,,,,,0.798571,
1568115182.850530000,,,,,,,,,0.799057,
1568115183.050397000,,,,,,,,,0.798482,
1568115183.250772000,,,,,,,,0.698742,,
1568115183.451182000,,,,,,,,0.697703,,
1568115183.651558000,,,,,,,,0.69804,,
1568115183.851977000,,,,,,,,0.698009,,
1568115184.052352000,,,,,,,,0.698202,,
1568115184.252748000,,,,,,,,0.698196,,
1568115184.453173000,,,,,,,,0.698467,,
1568115184.653570000,,,,,,,,0.697463,,
1568115184.853984000,,,,,,,,0.698394,,
1568115185.054391000,,,,,,,,0.698463,,
1568115185.254776000,,,,,,,,0.698306,,
1568115185.455238000,,,,,,,,0.698185,,
1568115185.655632000,,,,,,,,0.698019,,
1568115185.855997000,,,,,,,,0.698427,,
1568115186.056605000,,,,,,,,0.698073,,
1568115186.256838000,,,,,,,,0.69812,,
1568115186.457236000,,,,,,,,0.697439,,
1568115186.657695000,,,,,,,,0.698327,,
1568115186.857981000,,,,,,,,0.698108,,
1568115187.058372000,,,,,,,,0.697692,,
1568115187.258773000,,,,,,,,0.697927,,
1568115187.459300000,,,,,,,,0.698433,,
1568115187.659543000,,,,,,,,0.698416,,
1568115187.859958000,,,,,,,,0.698292,,
1568115188.060619000,,,,,,,,0.697844,,
