Duration,selectiveICP,normalICP,gotCloud,processCloud,mapping,realTimeCap
1568115179.676370721,,,,0.710667,,
1568115179.727846159,,,,0.179966,,
1568115179.863983546,,0.96801,,,,
1568115179.863983546,,,1.15344,,,
1568115179.863983546,,,,,,0
1568115179.915365214,,,,0.181757,,
1568115180.052358573,,0.978184,,,,
1568115180.052358573,,,1.16577,,,
1568115180.052358573,,,,,,579
1568115180.118810600,,,,0.164555,,
1568115180.197326571,,0.573191,,,,
1568115180.197326571,,,0.743135,,,
1568115180.197326571,,,,,,369
1568115180.312515497,,,,0.156938,,
1568115180.363858045,,0.373545,,,,
1568115180.363858045,,,0.535188,,,
1568115180.363858045,,,,,,265
1568115180.518466260,,,,0.161987,,
1568115180.569877738,,0.370088,,,,
1568115180.569877738,,,0.536708,,,
1568115180.569877738,,,,,,266
1568115180.715779781,,,,0.156932,,
1568115180.761083830,,0.33201,,,,
1568115180.761083830,,,0.493777,,,
1568115180.761083830,,,,,,244
1568115180.918886130,,,,0.166906,,
1568115180.964163087,,0.307261,,,,
1568115180.964163087,,,0.480461,,,
1568115180.964163087,,,,,,237
1568115181.113720526,,,,0.175976,,
1568115181.152974400,,0.281249,,,,
1568115181.152974400,,,0.463045,,,
1568115181.152974400,,,,,,229
1568115181.313202066,,,,0.159506,,
1568115181.352470421,,0.292688,,,,
1568115181.352470421,,,0.458435,,,
1568115181.352470421,,,,,,226
1568115181.515651255,,,,0.163082,,
1568115181.554925048,,0.306996,,,,
1568115181.554925048,,,0.474958,,,
1568115181.554925048,,,,,,235
1568115181.718692510,,,,0.180526,,
1568115181.760974264,,0.313396,,,,
1568115181.760974264,,,0.498947,,,
1568115181.760974264,,,,,,247
1568115181.921186001,,,,0.18059,,
1568115181.960523662,,0.280281,,,,
1568115181.960523662,,,0.468633,,,
1568115181.960523662,,,,,,231
1568115182.121074343,,,,0.174771,,
1568115182.160368922,,0.285001,,,,
1568115182.160368922,,,0.467005,,,
1568115182.160368922,,,,,,230
1568115182.318543777,,,,0.164166,,
1568115182.357809382,,0.27665,,,,
1568115182.357809382,,,0.446882,,,
1568115182.357809382,,,,,,219
1568115182.516097101,,,,0.18012,,
1568115182.555369004,,0.256704,,,,
1568115182.555369004,,,0.443846,,,
1568115182.555369004,,,,,,219
1568115182.718583625,,,,0.170982,,
1568115182.757888584,,0.254326,,,,
1568115182.757888584,,,0.431555,,,
1568115182.757888584,,,,,,212
1568115183.002625306,,,,0.572335,,
1568115183.044889024,,,,0.160071,,
1568115183.084167825,0.270254,,,,,
1568115183.084167825,,,,,0.00465417,
1568115183.084167825,,,0.439998,,,
1568115183.084167825,,,,,,217
1568115183.123419557,,,,0.159557,,
1568115183.165695658,0.31257,,,,,
1568115183.165695658,,,0.480945,,,
1568115183.165695658,,,,,0.00870946,
1568115183.165695658,,,,,,240
1568115183.319686626,,,,0.173966,,
1568115183.361974499,0.309242,,,,,
1568115183.361974499,,,0.493503,,,
1568115183.361974499,,,,,0.010471,
1568115183.361974499,,,,,,245
1568115183.518968611,,,,0.164466,,
1568115183.555230185,0.304147,,,,,
1568115183.555230185,,,,,0.00613204,
1568115183.555230185,,,0.477463,,,
1568115183.555230185,,,,,,237
1568115183.724623462,,,,0.188661,,
1568115183.770493783,0.349858,,,,,
1568115183.773519762,,,0.5484,,,
1568115183.773519762,,,,,0.0118585,
1568115183.773519762,,,,,,272
1568115183.918515010,,,,0.180544,,
1568115183.960805021,0.300977,,,,,
1568115183.960805021,,,0.488444,,,
1568115183.960805021,,,,,0.00606969,
1568115183.960805021,,,,,,243
