plane_id,count,aa_angle,aa_x,aa_y,aa_z,quat_x,quat_y,quat_z,quat_w,translation_x,translation_y,translation_z,score
65,5,0.090529,0,0.00677189,-0.999977,0,0.000306422,-0.045248,0.998976,-0.0889405,0.0842894,0.72776,0.069737
57,44,0.0169562,0,0.125004,-0.992156,0,0.00105978,-0.00841148,0.999964,-0.0166335,0.258034,1.32117,0.0228102
35,44,0.0161455,-0,0.929539,0.368725,-0,0.00750386,0.00297659,0.999967,0.11892,3.11604,0.965282,0.0278711
55,44,0.0140317,0,0.715787,-0.698319,0,0.00502183,-0.00489927,0.999975,-0.0309993,-0.098716,1.21355,0.02264
69,28,0.0165222,-0,0.887185,0.461415,-0,0.00732902,0.00381174,0.999966,0.0182766,-0.672981,0.418285,0.0377686
0,44,0.0114968,0,0.999993,-0.00373949,0,0.00574833,-2.1496e-05,0.999983,-5.35766,9.976,-0.0344627,0.0209153
59,44,0.010967,-0,0.951082,0.308938,-0,0.00521525,0.00169406,0.999985,0.0838786,-0.0480421,1.69873,0.0918907
56,31,0.0282194,0,-0.0150002,0.999887,0,-0.000211642,0.0141077,0.9999,-0.0353224,-0.0316884,1.11134,0.0387894
67,44,0.0123681,-0,0.943882,0.330284,-0,0.00583698,0.00204248,0.999981,-0.00252,0.111972,0.750863,0.0136385
63,44,0.0111865,0,0.975201,-0.221323,0,0.00545453,-0.00123791,0.999984,-0.0180274,0.0183313,1.6135,0.0145665
61,44,0.34895,-0,0.0436226,0.999048,-0,0.00757249,0.173426,0.984818,-0.767911,-0.282422,1.5803,0.661136
60,43,0.0024317,0,0.0426094,-0.999092,0,5.18067e-05,-0.00121475,0.999999,0.026464,-0.0113161,1.73961,0.0129375
