plane_id,count,aa_angle,aa_x,aa_y,aa_z,quat_x,quat_y,quat_z,quat_w,translation_x,translation_y,translation_z,score
35,0,0.0171607,0.0203646,0.980087,0.197519,0.000174734,0.00840941,0.00169477,0.999963,0.185221,6.13286,1.57005,0.0367216
63,0,0.00920933,0.0220715,0.884412,-0.466184,0.000101631,0.00407241,-0.00214661,0.999989,-0.000651306,-0.00359737,1.69191,0.0078755
65,0,0.0238019,-0.190704,0.00475929,-0.981636,-0.00226951,5.66388e-05,-0.0116821,0.999929,-0.109274,0.0619193,0.653287,0.0647124
67,0,0.0101597,0.0238585,0.961499,0.273772,0.000121198,0.00488426,0.00139072,0.999987,0.0254649,0.182374,0.740228,0.0136505
56,0,0.0137059,0.842795,-0.0210329,0.537824,0.00577559,-0.000144136,0.00368565,0.999977,0.0103283,-0.0276208,1.13348,0.0316919
0,0,0.0117336,-0.319595,0.947554,3.34142e-08,-0.00187499,0.00555908,1.96033e-10,0.999983,-5.37416,10.0239,-0.00285322,0.0105709
69,0,0.0142528,0.0184707,0.897806,0.440003,0.000131628,0.00639808,0.00313562,0.999975,0.0449206,-0.695454,0.442947,0.0606917
61,0,0.347752,-0.0123507,0.036762,0.999248,-0.00213669,0.00635988,0.172871,0.984922,-0.748759,-0.292268,1.60788,0.654002
60,0,0.00621491,-0.683346,0.0170537,-0.729895,-0.00212347,5.29935e-05,-0.00226811,0.999995,0.0423849,-0.00598569,1.70623,0.00528721
59,0,0.00901326,0.0241629,0.968216,0.248946,0.000108893,0.00436338,0.00112191,0.99999,0.100142,-0.0466921,1.68688,0.0983251
57,0,0.0172928,-0.00159018,-0.0637214,-0.997966,-1.37491e-05,-0.000550952,-0.00862869,0.999963,-0.011944,0.301443,1.31862,0.0209839
55,0,0.015867,0.0122401,0.490463,-0.871376,9.71056e-05,0.00389104,-0.00691298,0.999969,-0.0246037,-0.0734607,1.18704,0.0212558
35,0,0.00630697,-0.0137719,-0.662797,0.748673,-4.34294e-05,-0.00209012,0.00236093,0.999995,0.0396217,-0.712936,-0.0945703,0.0350657
61,0,0.349532,-0.0123037,0.0366221,0.999253,-0.00213934,0.00636776,0.173748,0.984767,-0.757844,-0.290527,1.58671,0.657168
63,0,0.00922535,0.0229947,0.921405,-0.387922,0.000106067,0.00425013,-0.00178935,0.999989,-0.00965971,-0.00693154,1.69809,0.0123256
67,0,0.0108479,0.0236785,0.954773,0.296391,0.00012843,0.00517861,0.0016076,0.999985,-0.00833332,0.105155,0.90795,0.0127422
56,0,0.0223572,0.607603,-0.0151634,0.794096,0.00679202,-0.000169503,0.00887671,0.999938,-0.0246253,-0.0258992,1.28028,0.0315348
60,0,0.00361441,-0.989636,0.0246975,-0.141457,-0.00178848,4.46334e-05,-0.000255642,0.999998,0.0396455,-0.0127428,1.71739,0.00994511
59,0,0.0097632,0.022772,0.912484,0.408477,0.000111163,0.00445436,0.00199401,0.999988,0.0938408,-0.0584143,1.69031,0.0978199
57,0,0.0159108,0.000273603,0.010961,-0.99994,2.17659e-06,8.7198e-05,-0.00795481,0.999968,-0.00379247,0.246556,1.36936,0.016068
55,0,0.0116065,0.0183823,0.736583,-0.676097,0.000106676,0.00427454,-0.00392352,0.999983,-0.0172307,-0.106914,1.26137,0.014663
69,0,0.0173449,0.016792,0.816212,0.577508,0.000145626,0.00707849,0.00500836,0.999962,0.0111,-0.712451,0.41115,0.034754
0,0,0.0101558,-0.484183,0.874967,1.94003e-08,-0.00245861,0.00444296,9.85121e-11,0.999987,-5.38291,9.99272,-0.00365163,0.0111155
0,0,0.0114224,-0.41506,0.909794,2.55276e-08,-0.00237048,0.00519598,1.45792e-10,0.999984,-5.45636,9.99454,-0.0164667,0.0202829
55,0,0.0142181,0.0154205,0.617904,-0.786102,0.000109624,0.00439267,-0.00558839,0.999975,-0.0226962,-0.110723,1.18438,0.0186127
35,0,0.0112163,-0.0188333,-0.906388,0.422025,-0.000105619,-0.00508312,0.00236676,0.999984,0.0392149,-0.763817,-0.104441,0.040931
57,0,0.0174677,-0.000818853,-0.0328141,-0.999461,-7.15164e-06,-0.00028659,-0.00872902,0.999962,-0.00865597,0.251895,1.32546,0.0187822
59,0,0.00935896,0.0235246,0.942641,0.332979,0.000110082,0.00441105,0.00155816,0.999989,0.0905721,-0.0475993,1.68584,0.0982617
56,0,0.0194092,0.477211,-0.0119094,0.878708,0.00463107,-0.000115574,0.00852737,0.999953,-0.0123678,-0.0371912,1.13303,0.0424608
67,0,0.0115406,0.0227785,0.920729,0.389538,0.000131439,0.00531286,0.00224774,0.999983,0.0123911,0.0766644,0.76139,0.0104736
