plane_id,count,aa_angle,aa_x,aa_y,aa_z,quat_x,quat_y,quat_z,quat_w,translation_x,translation_y,translation_z,score
19,0,0.25938,-0.037268,-0.00184614,0.999304,-0.00481975,-0.000238755,0.129237,0.991602,-0.140276,0.073786,0.720577,0.104751
20,0,0.023637,-0.0268341,0.541717,0.840133,-0.000317132,0.00640213,0.00992888,0.99993,-0.18716,0.822513,0.416018,0.139235
35,0,0.0431426,-0.0532038,0.990355,0.12793,-0.00114758,0.0213616,0.00275939,0.999767,0.105226,-0.347373,0.806915,0.0340083
57,0,0.0150225,-0.04891,0.987377,-0.150646,-0.000367372,0.00741637,-0.00113153,0.999972,-0.0453394,0.0835849,0.416317,0.0260774
70,0,0.0275351,0.0430751,0.00232779,0.999069,0.00059302,3.20469e-05,0.0137543,0.999905,-0.0217804,-0.0704794,0.331637,0.0666566
69,0,0.0293285,-0.0524679,0.97293,0.225064,-0.000769374,0.0142668,0.00330027,0.999892,0.0248051,-0.309097,0.418238,0.0340457
34,0,0.00804146,-0.926066,-0.045873,0.374562,-0.00372345,-0.000184442,0.00150601,0.999992,0.657699,0.0853344,0.0729099,0.0540503
56,0,0.0224182,0.350149,0.0173447,0.936533,0.00392478,0.000194414,0.0104975,0.999937,-0.0584474,-0.116578,0.371639,0.112182
67,0,0.458302,0.0494648,-0.998775,-0.00149846,0.011236,-0.226873,-0.000340377,0.97386,-0.0757512,-0.05256,0.0445658,0.039762
61,0,0.356314,-0.0150889,0.0358322,0.999244,-0.00267399,0.00635004,0.177082,0.984172,-0.793707,-0.0839275,0.557805,0.681387
