Duration,noOfRecPlanes,noOfAssocPlanes
1553088518.495189703,16,7
1553088518.495189703,17,7
1553088520.450840486,18,7
1553088522.445868869,16,6
1553088524.643141559,15,6
1553088526.713970920,18,7
1553088528.478668730,20,7
1553088530.718141035,18,7
1553088532.906244387,19,7
1553088535.138149737,17,6
1553088537.165159601,20,8
1553088539.343008461,19,8
1553088542.355981351,15,8
1553088545.744140768,19,8
1553088550.176271795,20,8
1553088553.702665323,19,9
1553088556.293482818,19,7
1553088558.807327783,15,4
1553088563.106894404,20,6
1553088567.262901623,26,8
1553088570.728653415,23,11
1553088574.416816371,20,8
1553088578.303459336,16,9
1553088582.297962815,20,12
1553088584.698416506,13,9
1553088587.493093228,12,8
1553088590.893218317,12,9
1553088593.893814431,11,8
1553088596.617987483,13,9
1553088600.521698075,15,11
1553088603.578478940,12,10
1553088606.476101925,10,6
1553088609.574924807,12,8
1553088612.758468097,13,8
1553088615.727828229,14,9
1553088618.637389075,14,10
1553088621.692554232,13,9
1553088623.968519995,15,10
1553088627.120044174,21,12
1553088629.905505740,17,9
1553088632.219978438,19,10
1553088634.792355892,18,9
1553088637.072870145,18,8
1553088639.622620194,16,7
1553088642.635698649,21,8
1553088645.677970706,21,9
1553088649.193815629,16,7
1553088652.805015735,17,6
1553088655.726797763,16,8
1553088658.990728047,17,7
1553088662.334393779,16,7
1553088666.308015583,16,7
1553088670.095885429,19,7
1553088674.286307878,19,7
1553088677.687982078,18,7
1553088681.584257517,20,8
1553088685.260312823,16,6
1553088688.080112877,19,8
1553088688.080112877,19,7
