facet_id,plane_id
94,37
95,37
92,36
93,36
88,35
89,35
91,35
90,35
86,34
87,34
84,33
85,33
82,32
83,32
80,31
81,31
76,30
75,30
79,30
74,30
77,30
78,30
70,29
71,29
73,29
72,29
68,28
69,28
66,27
67,27
62,26
63,26
65,26
64,26
58,25
59,25
61,25
60,25
56,24
57,24
54,23
55,23
52,22
1,0
98,38
53,22
0,0
4,1
5,1
3,1
2,1
8,2
9,2
7,2
6,2
11,3
10,3
13,4
12,4
15,5
14,5
17,6
16,6
20,7
21,7
19,7
18,7
24,8
25,8
23,8
22,8
27,9
26,9
29,10
28,10
31,11
30,11
33,12
32,12
35,13
34,13
37,14
36,14
39,15
38,15
41,16
40,16
43,17
42,17
45,18
44,18
47,19
46,19
49,20
48,20
51,21
50,21
99,38
97,38
96,38
101,39
100,39
103,40
102,40
107,41
106,41
105,41
104,41
109,42
108,42
111,43
110,43
113,44
112,44
115,45
114,45
117,46
116,46
119,47
118,47
121,48
120,48
123,49
122,49
125,50
124,50
128,51
129,51
127,51
126,51
131,52
130,52
133,53
132,53
135,54
134,54
137,55
136,55
139,56
138,56
141,57
140,57
143,58
142,58
145,59
144,59
147,60
146,60
149,61
148,61
151,62
150,62
153,63
152,63
155,64
158,64
154,64
159,64
157,64
156,64
161,65
160,65
163,66
162,66
166,67
167,67
165,67
164,67
169,68
168,68
171,69
170,69
173,70
172,70
175,71
174,71
178,72
179,72
177,72
176,72
181,73
180,73
