Duration,segmentation,association,deviation,average,segmentationMap,associationMap,deviationMap
1568115181.893782669,0.73777,,,,,,
1568115182.057116093,,0.549118,,,,,
1568115182.057116093,,,0.000158907,,,,
1568115182.057116093,,,,2.3772e-05,,,
1568115182.266315595,0.704186,,,,,,
1568115182.435499278,,0.565132,,,,,
1568115182.435499278,,,0.000104602,,,,
1568115182.435499278,,,,2.4209e-05,,,
1568115182.644791449,0.704575,,,,,,
1568115182.811050111,,0.559244,,,,,
1568115182.811050111,,,3.6167e-05,,,,
1568115182.811050111,,,,4.978e-06,,,
1568115183.025672596,0.725236,,,,,,
1568115183.197815933,,0.571375,,,,,
1568115183.197815933,,,3.7449e-05,,,,
1568115183.197815933,,,,6.827e-06,,,
1568115183.391075444,0.65675,,,,,,
1568115183.551381027,,0.538892,,,,,
1568115183.551381027,,,4.0513e-05,,,,
1568115183.551381027,,,,7.319e-06,,,
1568115183.793184379,0.810423,,,,,,
1568115183.953287489,,0.538709,,,,,
1568115183.953287489,,,0.000111036,,,,
1568115183.953287489,,,,9.708e-06,,,
1568115184.152695069,0.666187,,,,,,
1568115184.309697349,,0.528672,,,,,
1568115184.309697349,,,5.3584e-05,,,,
1568115184.309697349,,,,6.507e-06,,,
1568115184.527661353,0.730926,,,,,,
1568115184.687938242,,0.54444,,,,,
1568115184.687938242,,,3.6354e-05,,,,
1568115184.687938242,,,,5.447e-06,,,
1568115184.881160062,0.642814,,,,,,
1568115185.047201899,,0.565114,,,,,
1568115185.047201899,,,3.9498e-05,,,,
1568115185.047201899,,,,5.825e-06,,,
1568115185.255544009,0.698469,,,,,,
1568115185.418567289,,0.543091,,,,,
1568115185.418567289,,,0.000122011,,,,
1568115185.418567289,,,,7.117e-06,,,
1568115185.617846372,0.673309,,,,,,
1568115185.781740671,,0.552182,,,,,
1568115185.781740671,,,7.6625e-05,,,,
1568115185.781740671,,,,1.0134e-05,,,
1568115185.975237737,0.651657,,,,,,
1568115186.132257561,,0.527363,,,,,
1568115186.132257561,,,5.0935e-05,,,,
1568115186.132257561,,,,7.471e-06,,,
1568115186.355708242,0.74821,,,,,,
1568115186.518875882,,0.547268,,,,,
1568115186.518875882,,,3.5158e-05,,,,
1568115186.518875882,,,,5.362e-06,,,
1568115186.733288092,0.722089,,,,,,
1568115186.896498469,,0.552545,,,,,
1568115186.896498469,,,3.7096e-05,,,,
1568115186.896498469,,,,1.6242e-05,,,
1568115187.122988080,0.753951,,,,,,
1568115187.286112076,,0.556259,,,,,
1568115187.286112076,,,4.0786e-05,,,,
1568115187.286112076,,,,6.73e-06,,,
1568115187.546208125,0.867353,,,,,,
1568115187.709516421,,0.552823,,,,,
1568115187.709516421,,,4.6471e-05,,,,
1568115187.709516421,,,,6.57e-06,,,
1568115187.948021703,0.806704,,,,,,
1568115188.117183031,,0.570866,,,,,
1568115188.117183031,,,0.000109188,,,,
1568115188.117183031,,,,1.3218e-05,,,
1568115188.337806598,0.743695,,,,,,
1568115188.500889159,,0.547668,,,,,
1568115188.500889159,,,0.000108256,,,,
1568115188.500889159,,,,2.4996e-05,,,
1568115188.739412037,0.805791,,,,,,
1568115188.902529384,,0.543441,,,,,
1568115188.902529384,,,5.8103e-05,,,,
1568115188.902529384,,,,9.063e-06,,,
1568115189.122919507,0.741058,,,,,,
1568115189.292038719,,0.568721,,,,,
1568115189.292038719,,,6.8786e-05,,,,
1568115189.292038719,,,,9.782e-06,,,
1568115189.506393968,0.725663,,,,,,
1568115189.713955467,,0.6981,,,,,
1568115189.713955467,,,3.7388e-05,,,,
1568115189.713955467,,,,7.751e-06,,,
1568115189.988811696,0.929655,,,,,,
1568115190.194171614,,0.693235,,,,,
1568115190.194171614,,,4.6088e-05,,,,
1568115190.194171614,,,,7.911e-06,,,
1568115190.489050694,0.997107,,,,,,
1568115190.703540955,,0.722983,,,,,
1568115190.703540955,,,5.641e-05,,,,
1568115190.703540955,,,,1.1131e-05,,,
1568115191.090522904,1.31173,,,,,,
1568115191.387347013,,1.00464,,,,,
1568115191.387347013,,,5.8658e-05,,,,
1568115191.387347013,,,,1.1397e-05,,,
1568115191.824034743,1.4902,,,,,,
1568115192.111023396,,0.97324,,,,,
1568115192.111023396,,,0.000178225,,,,
1568115192.111023396,,,,2.2011e-05,,,
1568115192.512856826,1.3567,,,,,,
1568115192.812058068,,1.02266,,,,,
1568115192.812058068,,,5.5991e-05,,,,
1568115192.812058068,,,,1.1363e-05,,,
1568115193.250047522,1.48031,,,,,,
1568115193.542123425,,0.998642,,,,,
1568115193.542123425,,,3.9143e-05,,,,
1568115193.542123425,,,,8.899e-06,,,
1568115193.986511698,1.50231,,,,,,
1568115194.276705815,,0.985573,,,,,
1568115194.276705815,,,5.6929e-05,,,,
1568115194.276705815,,,,1.2341e-05,,,
1568115194.663421560,1.31636,,,,,,
1568115194.965577586,,1.02347,,,,,
1568115194.965577586,,,5.0197e-05,,,,
1568115194.965577586,,,,1.3963e-05,,,
1568115195.364886648,1.35968,,,,,,
1568115195.663977651,,1.0186,,,,,
1568115195.663977651,,,6.214e-05,,,,
1568115195.663977651,,,,1.8622e-05,,,
1568115196.066130241,1.37056,,,,,,
1568115196.365255407,,1.01733,,,,,
1568115196.365255407,,,6.0824e-05,,,,
1568115196.365255407,,,,1.2469e-05,,,
1568115196.744408197,1.28978,,,,,,
1568115197.046689277,,1.03594,,,,,
1568115197.046689277,,,0.000174845,,,,
1568115197.046689277,,,,2.4268e-05,,,
1568115197.451661076,1.37128,,,,,,
1568115197.745090567,,1.00533,,,,,
1568115197.745090567,,,4.4693e-05,,,,
1568115197.745090567,,,,1.1343e-05,,,
1568115198.134889556,1.31308,,,,,,
1568115198.431081157,,1.01607,,,,,
1568115198.431081157,,,5.5406e-05,,,,
1568115198.431081157,,,,1.2425e-05,,,
1568115198.834559070,1.38247,,,,,,
1568115199.128882390,,0.996631,,,,,
1568115199.128882390,,,0.00017807,,,,
1568115199.128882390,,,,1.7226e-05,,,
1568115199.536801254,1.37839,,,,,,
1568115199.835809974,,1.02938,,,,,
1568115199.835809974,,,0.000648917,,,,
1568115199.835809974,,,,1.2416e-05,,,
1568115200.225742639,1.32008,,,,,,
1568115200.509768383,,0.984361,,,,,
1568115200.509768383,,,0.000116714,,,,
1568115200.509768383,,,,1.7416e-05,,,
1568115200.933977227,1.44105,,,,,,
1568115201.224063685,,0.986192,,,,,
1568115201.224063685,,,0.000166002,,,,
1568115201.224063685,,,,1.205e-05,,,
1568115201.625830846,1.37251,,,,,,
1568115201.918886575,,1.01591,,,,,
1568115201.918886575,,,5.0241e-05,,,,
1568115201.918886575,,,,1.2123e-05,,,
1568115202.348905311,1.45703,,,,,,
1568115202.645028850,,1.01954,,,,,
1568115202.645028850,,,4.4373e-05,,,,
1568115202.645028850,,,,8.795e-06,,,
1568115203.080172797,1.49772,,,,,,
1568115203.367481198,,0.977754,,,,,
1568115203.367481198,,,4.9459e-05,,,,
1568115203.367481198,,,,9.378e-06,,,
1568115203.776899796,1.38473,,,,,,
1568115204.080042062,,1.04363,,,,,
1568115204.080042062,,,8.7058e-05,,,,
1568115204.080042062,,,,1.1452e-05,,,
1568115204.524327693,1.52719,,,,,,
1568115204.816350817,,0.991261,,,,,
1568115204.816350817,,,5.6386e-05,,,,
1568115204.816350817,,,,1.2683e-05,,,
1568115205.238444292,1.43408,,,,,,
1568115205.250530946,,0.966887,,,,,
1568115205.250530946,,,4.1173e-05,,,,
1568115205.250530946,,,,9.053e-06,,,
