Duration,processBuffer,processMap,processCloud
1568115209.890353394,,,3.92792
1568115209.900484919,3.93487,,
1568115213.732732467,,,3.8956
1568115213.732732467,3.90129,,
1568115217.660722401,,,4.00523
1568115217.670800056,4.01489,,
1568115222.428933975,,,4.86032
1568115222.428933975,4.86941,,
1568115231.980905635,,,9.77346
1568115231.991949240,9.79227,,
1568115244.396437020,,,12.7042
1568115244.406882453,12.7144,,
1568115251.235589455,,,6.99704
1568115251.245669079,7.01152,,
1568115262.609707314,,,11.696
1568115262.619711877,11.7126,,
1568115271.439572999,,,9.10073
1568115271.449650302,9.1099,,
1568115278.149813930,,,6.87493
1568115278.159876001,6.88589,,
1568115288.327305080,,,10.489
1568115288.349040686,10.5098,,
1568115298.194065290,,,10.089
1568115298.204154995,10.1032,,
1568115306.704102276,,,8.7887
1568115306.714190164,8.80135,,
1568115319.907230962,,,13.6298
1568115319.917310582,13.6425,,
1568115328.190115272,,,8.57854
1568115328.211861259,8.59584,,
1568115336.833950425,,,8.94071
1568115336.844015511,8.95427,,
1568115342.382359931,,,5.77225
1568115342.392419262,5.78182,,
1568115347.122341424,,,4.93729
1568115347.122341424,4.94361,,
1568115353.997227411,,,7.18328
1568115354.018483216,7.19831,,
1568115360.730768421,,,6.94247
1568115360.740833970,6.95241,,
1568115363.469097981,,,6.47039
1568115363.469097981,6.47549,,
